Updated: 03/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greyed out if the CES parts have been amended out and there's nothing to see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Instance 1,,,,Instance 2,,,,Instance 3,,,,Instance 4,,,,Instance 5,,,,Instance 6,,,,Instance 7,,,,Instance 8,,,,,
Bill/legislative name,Author,Introduction date,Status,"Status details, if applicable",Status date,Topic Title,Topic category,Legislative summary text,"I1_Code change, if any",I1_CalEnviroScreen/HSC Text,I1_CES or HSC?,I1_CalEnviroScreen/HSC Use Category,"I2_Code change, if any",I2_CalEnviroScreen/HSC Text,I2_CES or HSC?,I2_CalEnviroScreen/HSC Use Category,"I3_Code change, if any",I3_CalEnviroScreen/HSC Text,I3_CES or HSC?,I3_CalEnviroScreen/HSC Use Category,"I4_Code change, if any",I4_CalEnviroScreen/HSC Text,I4_CES or HSC?,I4_CalEnviroScreen/HSC Use Category,"I5_Code change, if any",I5_CalEnviroScreen/HSC Text,I5_CES or HSC?,I5_CalEnviroScreen/HSC Use Category,"I6_Code change, if any",I6_CalEnviroScreen/HSC Text,I6_CES or HSC?,I6_CalEnviroScreen/HSC Use Category,"I7_Code change, if any",I7_CalEnviroScreen/HSC Text,I7_CES or HSC?,I7_CalEnviroScreen/HSC Use Category,"I8_Code change, if any",I8_CalEnviroScreen/HSC Text,I8_CES or HSC?,I8_CalEnviroScreen/HSC Use Category,Notes,Plain language synopsis
AB 1001,Garcia,2/18/2021,Suspended,"In committee: Set, second hearing. Hearing canceled at the request of author.",6/14/2022,Environment: mitigation measures for air quality impacts: environmental justice. ,Air pollution/quality (nonvehicular),"This bill would require mitigation measures, identified in an environmental impact report or mitigated negative declaration to mitigate the adverse effects of a project on air quality of a disadvantaged community, to include measures for avoiding, minimizing, or otherwise mitigating for the adverse effects on that community. The bill would require mitigation measures to include measures conducted at the project site that avoid or minimize to less than significant the adverse effects on the air quality of a disadvantaged community or measures conducted in the affected disadvantaged community that directly mitigate those effects. The bill would require all public agencies, in implementing CEQA, to give consideration to the principles of environmental justice, as provided, by ensuring the fair treatment and meaningful involvement of people of all races, cultures, incomes, and national origins. Because the bill would impose additional duties on the lead agency, this bill would impose a state-mandated local program.",Section 21081.8 is added to the Public Resources Code,"(a) For projects that have adverse effects on the air quality of a disadvantaged community as identified pursuant to Section 39711 of the Health and Safety Code, mitigation measures identified in an environmental impact report or mitigated negative declaration to mitigate those adverse effects shall include measures for avoiding, minimizing, or otherwise mitigating for the adverse effects on that community.
(b) Mitigation measures shall include measures conducted at the project site that avoid or minimize to less than significant the adverse effects on the air quality of a disadvantaged community or measures conducted in the affected disadvantaged community that directly mitigate those effects.",HSC,Mitigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bill requiring CEQA-involved agencies to mitigate adverse effects of air quality on a disadvantaged community and consider environmental justice
SB-582,"Introduced by Senator Stern
(Principal coauthor: Senator Cortese)
(Coauthor: Senator Wiener)
(Coauthor: Assembly Member Lee)",2/18/2021,Died,Died on file in the senate,1/31/2022,"Climate Emergency Mitigation, Safe Restoration, and Just Resilience Act of 2021","Governance: of programs, Community development grants, Climate emergency/natural hazards","This bill would require the state board to ensure that statewide greenhouse gas emissions are reduced to at least 40% and up to 80% below the 1990 level by 2030. By expanding the scope of a crime, this bill would imposed a state-mandated local program.... requires ICARP to develop criteria to ensure that public expenditures for projects that address climate change resilience protect the most vulnerable communities first, rectify intersectional and systemic inequities, and enhance low-income and vulnerable communities’ labor standards, workers’ rights, career pathways, and community benefits.",Division 33.5 added to Public Resources Code,"Use of CES data and HSC 39711, among other data, as ""criteria to ensure that public expenditures for projects that address climate change resilience protect the most vulnerable communities first, rectify intersectional and systemic inequities, and enhance low-income and vulnerable communities’ labor standards, workers’ rights, career pathways, and community benefits.""",CES and HSC,"Program prioritization, Program goals, Requires CES to be used in analysis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB-2108,Rivas,2/14/2022,Enacted,,9/16/2022,Water policy: environmental justice: disadvantaged and tribal communities.,"Drinking water, Governance: of programs","This bill would, among other things, specify that the state board and each regional board need to begin outreach to identify issues of environmental justice as early as possible in planning, policy, and permitting processes. The bill would require the state board and each regional board to engage in equitable, culturally relevant community outreach to promote meaningful civic engagement from potentially impacted communities of proposed discharges of waste that may have disproportionate impacts on water quality in disadvantaged communities or tribal communities and ensure that outreach and engagement shall continue throughout the waste discharge planning, policy, and permitting processes. The bill would require the state board and each regional board, contingent upon an appropriation, to hire environmental justice and tribal community coordinator positions for specified purposes. The bill would require the state board, contingent upon a specific appropriation, to establish a community capacity-building stipend program to promote meaningful civic engagement by disadvantaged communities and tribal communities in the state board and regional board decisionmaking processes, among other activities. The bill would require the state board and each regional board to make a finding, as specified, on potential environmental justice, tribal impact, and racial equity considerations when adopting water quality control plans or state policies for water quality control, and when issuing or reissuing waste discharge requirements or waivers of waste discharge requirements. The bill would also set forth related findings and declarations.",findings,"Disadvantaged communities are disproportionally impacted by water quality pollution. The state’s 2021 CalEnviroScreen update reveals that the top 10 percent of least polluted neighborhoods are 67 percent White, and the top 10 percent of most polluted neighborhoods are 90 percent Black, Indigenous, and people of color. Contaminated drinking water sources disproportionately burden low-income and Black, Indigenous, and people of color communities throughout California, further exacerbating persistent inequities, which can be seen in data collected by the human right to water framework.",CES,Used as data in support of writing the bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Interestingly, includes disadvantaged community as a requirement of program eligibility, yet defines ""disadvantaged community"" as a community in which the median household income is less than 80 percent of the statewide annual median household income level.",
AB-2316,Ward,2/16/2022,Enacted,,9/16/2022,Public Utilities Commission: customer renewable energy subscription programs and the community renewable energy program.,Energy,"This bill would require the commission, on or before March 31, 2024, to evaluate each customer renewable energy subscription program, as described, to determine if the program meets specified goals, to authorize the termination or modification of a program that does not meet those goals, and to determine whether it would be beneficial to ratepayers to establish a community renewable energy program.",Section 769.3 is added to the Public Utilities Code,"(4) “Underserved community” includes each of the following:
(A) A “low-income community” as defined in Section 39713 of the Health and Safety Code.
(B) A community within an area identified as among the 25 percent most disadvantaged areas in the state according to the California Environmental Protection Agency and based on the most recent California Communities Environmental Health Screening Tool, also known as CalEnviroScreen, that is used to identify disadvantaged communities pursuant to Section 39711 of the Health and Safety Code.
(C) A community located on lands belonging to a California Native American tribe, as defined in Section 21073 of the Public Resources Code.",CES and HSC,"Program eligibility, Program prioritization",Section 769.3 is added to the Public Utilities Code,"(2) “Customer renewable energy subscription program” does not include the net energy metering program specified in Sections 2827 and 2827.1 or the Multifamily Affordable Housing Solar Roofs Program established pursuant to Chapter 9.5 (commencing with Section 2870) of Part 2. “Customer renewable energy subscription program” includes an alternative designed for growth among residential customers in disadvantaged communities pursuant to paragraph (1) of subdivision (b) of Section 2827.1.
(3) “Low-income customer” means either of the following:
...(B) An individual or household who resides within an underserved community.",CES and HSC by proxy,Program prioritization,,,,,,,,,,,,,,,,,,,,,,,,,"Strange iterative nesting dolls of community defining, decided to not capture all the instances of low-income community since that gets further away from the DAC/CES","Establishing community renewable energy program, ensuring at least 51% of program's capacity serves low-income customers, which within that definition of low-income customers includes underserved communities, which is further defined as a DAC, or community on lands belonging to a California tribe, or a low-income community based on Section 39713 of HSC"
SB-1382,Gonzalez,2/18/2022,Enacted,,9/16/2022,Air pollution: Clean Cars 4 All Program: Sales and Use Tax Law: zero emissions vehicle exemption.,Transportation: ZEV,"Requires the Clean Cars 4 All program ""to additionally ensure that the state board coordinates with local air districts and local nonprofit and community organizations, as provided, to identify barriers to accessing the Clean Cars 4 All Program and to develop outreach protocols and metrics to assess the success of outreach across the districts. The bill would additionally require that the performance analysis include an assessment identifying populations that are eligible for, but underserved by the Clean Cars 4 All Program, as provided, and would require the assessment to identify barriers preventing the underserved populations from participating in the program and to propose strategies to overcome those barriers. The bill would require the state board to consider specified metrics in allocating funding to districts participating in the Clean Cars 4 All Program. The bill would authorize up to 10% of the moneys allocated by the state board for the Clean Cars 4 All Program to be used for outreach programs in accordance with specified requirements.""",findings,"(i) Furthermore, ZEVs are even less likely to be owned by households in emissions-overburdened communities in the greatest need of emission-reductions; as of 2019, fewer than 6 percent of ZEVs in the state are registered in the upper 80th percentile of CalEnviroScreen score census tracts.",CES,Used as data in support of writing the bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CES was only used in the findings section. Bill has provisions for funds to areas participating in an EV program
SB-679,Kamlager,2/19/2021,Enacted,,9/28/2022,Los Angeles County: affordable housing,Housing,"This bill, the Los Angeles County Regional Housing Finance Act, would establish the Los Angeles County Affordable Housing Solutions Agency and would state that the agency’s purpose is to increase the supply of affordable housing in Los Angeles County by providing for significantly enhanced funding and technical assistance at a regional level for renter protections, affordable housing preservation, and new affordable housing production, as specified. The bill would require a board composed of 21 voting members and one nonvoting member from Los Angeles County, as specified, to govern the agency.",Title 6.9 (commencing with Section 64700) is added to the Government Code,"(5) (A) One at-large member from an eligible small city who is appointed by all members of the Los Angeles County City Selection Committee that are eligible for the seat, as determined by the board.
(B) For purposes of this paragraph, “eligible small city” means a city in the County of Los Angeles that meets all of the following requirements:
(i) The city has a population of less than 100,000, according to the most recent census, as of the date that the at-large member is selected.
(ii) The city is in the top 50 percent of the most impacted cities in the County of Los Angeles, as determined by the proportion of households that are low-income and severely cost-burdened according to data from the United States Department of Housing and Urban Development’s Comprehensive Housing Affordability Strategy database, as used in the CalEnviroScreen Housing Burden tool.",CES,Advisory role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Requires that on the board of directors to govern the LA County Affordable Housing Solutions Agency, one at-large member from an eligible small city on the LA County City Selection Committee, in which one of the requirements for the city's eligibility is for the city to be in the top 50% of most impacted cities in LA County, such as the CalEnviroScreen Housing Buden indicator"
AB-137,Committee on Budget,1/8/2021,Enacted,,7/16/2021,State government.,Energy,"Several different monetary clauses about various state programs, including solar, gambling, grants, debt collection, local jurisdictions' taxes, etc",Section 1601 of the Public Utilities Code is amended ,"(e) “Underserved community” means a community that meets one of the following criteria:
(1) Is a “disadvantaged community” as defined by subdivision (g) of Section 75005 of the Public Resources Code.
(2) Is included within the definition of “low-income communities” as defined by paragraph (2) of subdivision (d) of Section 39713 of Health and Safety Code.
(3) Is within an area identified as among the most disadvantaged 25 percent in the state according to the California Environmental Protection Agency and based on the most recent California Communities Environmental Health Screening Tool, also known as CalEnviroScreen.
(4) Is a community in which at least 75 percent of public school students in the project area are eligible to receive free or reduced-price meals under the National School Lunch Program.
(5) Is a community located on lands belonging to a federally recognized California Indian tribe.",CES,"Defining a community, Program eligibility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doesn't mention further about what underserved communities are eligible for,A budgetary bill with many focus areas. CES is mentioned in reference to eligibility for a stimulus program for creating more energy efficient schools 
SB-158,Committee on Budget,1/9/2021,Enacted,,7/12/2021,Hazardous waste,Waste: hazardous,Revises many provisions regarding fees on hazardous waste and establishes the Board of Environmental Safety in the department,"Section 25135 of the Health and Safety Code is repealed.
Section 25135 is added to the Health and Safety Code","(2) Information regarding hazardous waste facilities that operate in the state, including all of the following:
...
(B) An analysis of the location of each destination facility, including an assessment of the area in which the destination facility is located. For destination facilities located in the state, this analysis shall include zoning and other geographic information and the CalEnviroScreen score, and may include information from national environmental health screening tools. For destination facilities located in other states, the analysis shall include a similar assessment of the environmental conditions or vulnerability to environmental pollutants of the population surrounding each destination facility, to the extent data are available.
(C) An analysis of the transportation of hazardous waste generated in the state, including information on the distance between the destination facilities and the generators that are sending hazardous waste to those destination facilities, the transportation options available to transport hazardous wastes to each destination facility, and the cost for transportation to each destination facility, including a calculated estimate of cost per mile traveled.",CES,Requires CES to be used in analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Legislation requiring zoning, CalEnviroScreen score, and other geographic information and national environmental health schreening tools to analyze destination facilities in the state"
