Data dictionary,,,,
Variable name,Variable definition,Options,Options definition,Additional notes or examples
Bill/legislative name,Assembly Bill/Senate Bill and number,,,
Author,Main author name,,,
Introduction date,Date it was introduced on the legislative floor,,,
Legislative status,Status of the bill,Amended out of the bill,Text regarding HSC and/or CES was amended out,
,,Died,Bill actively died and was designated as such.,
,,Dormant,"Includes statuses such as suspended, held in committee, became inactive. Bills can passively die while in this status.",
,,Enacted,Bill signed by governor,
,,Failed,Went to the floor and failed to get enough votes,
,,Vetoed,Passed both congressional chambers and the governor formally rejected.,
"Status details, if applicable",Details about the bills's status,,,
Status date,Date of the last status update,,,
Topic Title,Title of the bill,,,
Topic category,"Topic category of the bill, generally",Agriculture,Related to agriculture,
,,Air pollution/quality (nonvehicular),Bills related to nonvehicular air quality or air pollution,
,,Carbon emissions,"Bills with a general focus on carbon emissions, GHGs, and projected climate change impacts",
,,Climate emergency/natural hazards,Bills focused on climate emergencies or natural disasters,
,,"Community development, community grants","Bills focusing primarily on community development and/or grant programs, with emphasis on community-based organizations or other groups applying for grants",
,,Drinking water,Bills focused on drinking water,
,,"Education, workforce","Bills related to higher education, workforce training",
,,Electricity,Bills related to electricity,
,,Energy,"Bills related to energy, including renewables, or under purview of the energy commission",
,,Finance,"Bills related to finance or tax, not tied to grants or budget line items",
,,Governance: of programs,Governance of programs that have iterations below the state-level,
,,Governance: of state government,"Bills related to processes or governance of state government, including budget bills",
,,Greening,Greening of spaces,
,,Groundwater,Related to groundwater,
,,Housing,Bills related to housing,
,,Internet,Bills related to internet access,
,,Land use,Related to siting or compatibility of land uses,
,,Marine,Bills focused on marine or aquatic (non-farming) life,
,,Oil & gas,"Bills related to gasoline, petroleum",
,,Planning,"Bills related to general plans, zoning, long-range transportation planning, CEQA, etc",
,,Ports,Bills related to ports,
,,Sea level rise,Bills focusing on sea level rise,
,,Transportation: Infrastructure (non-EV),Bills related to transportation infrastructure and not focused on zero-emission vehicles,
,,Transportation: transit,Bills related to transit,
,,Transportation: transportation of fuels,Transportation bills with a focus on transportation of fuels or waste,
,,Transportation: ZEV,Bills related to zero-emission vehicles,
,,Tribal,Bills focusing on tribal concerns or relations,
,,Waste,Bills relating to waste,
,,Waste: hazardous,Bills related to hazardous waste,
,,Waste: plastic,"Bills focused on waste, specifically plastic",
,,Water pollution,"Bills related to water pollution, not explicitly drinking water",
,,Water supply,Bills relating to water supply,
Legislative summary text,Text copied from the summary section of the bill of new changes the bill is creating,,,
"Code change, if any","If a government code is being changed, including what type (Health & Safety, Public Utilities, etc) and if it is being added or amended",,,
CalEnviroScreen/HSC Text,Text of the bill relevant to CES/HSC,,,
CES or HSC?,"Notating which aspect is being used, CES or HSC or a combination",CES,Only CES is mentioned,
,,CES and HSC,Both HSC 39711 and CES are mentioned,
,,CES and HSC by proxy,"when both CES and HSC 39711 is mentioned and used to define ""disadvantaged communities"" in the bill and ""disadvantaged communities is referenced throughout without fully bringing up the source of the DACs again",
,,CES by proxy,When CES is mentioned to define disadvantaged communities,
,,HSC,Only HSC 39711 is mentioned,
,,HSC by proxy,"when HSC 39711 is used to define ""disadvantaged communities"" in the bill and ""disadvantaged communities is referenced throughout without fully bringing up HSC again","when HSC by proxy is selected, and requires CES to be used in analysis, then it means DACs are what's considered"
CalEnviroScreen/HSC Use Category,,Advisory role,Specifies how a DAC is related to or used in an advisory role,"Being a representative of an organization working with a DAC is not being counted, it is only when it is a direct representative of a DAC"
,,"Community engagement, outreach",Bill specifies community engagement or outreach activities with disadvantaged communities,
,,Defining a community,When a bill uses the 39711 definition for disadvantaged communities and doesn't go beyond that in that section,
,,Funding prioritization,CES/DACs used to prioritize funding over non-DACs communities,"If an organization is applying that will be working in a DAC, they will get priority"
,,Land use siting,Related to land use siting decisions,
,,Mitigation,Identifying communities for mitigation efforts,
,,Program eligibility,"When CES percentiles or DACs are part of eligibility to participate in the program or be eligible for benefits that are not awarded other non DAC projects, such as expedited funding",Only DACs are eligible for a program
,,Program goals,When legislation states goals and includes reaching or servicing disadvantaged communities,
,,Program prioritization,CES/DACs used to prioritize program involvement or the program actions are being prioritized in those communities over non-DACs communities,
,,Requires CES to be used in analysis,Bill explicitly requires CalEnviroScreen be referenced or reviewed in analysis/assessment and/or carrying out of program and how it affects those communities,"When HSC by proxy is selected, and requires CES to be used in analysis, then it means DACs are what's considered."
,,Used as data in support of writing the bill,"Legislation used CES for the sake of findings or in support of claims in the bill, but is not utilized beyond that.",
Notes,"Additional notes as needed. For example, when a bill relates to another bill in a different column",,,
Plain language synopsis,"A brief, plain language synopsis of how CES/HSC/DACs are present in the bill",,,
